name	type	source	detector	wavelength_nominal	units
ch1	n/a	1	1	830	n/a
ch2	n/a	2	2	830	n/a
ch3	n/a	3	3	830	n/a
ch4	n/a	4	4	830	n/a
ch5	n/a	5	5	830	n/a
ch6	n/a	6	6	830	n/a
ch7	n/a	7	7	830	n/a
ch8	n/a	8	8	830	n/a
ch9	n/a	9	9	830	n/a
ch10	n/a	10	10	830	n/a
ch11	n/a	11	11	830	n/a
ch12	n/a	12	12	830	n/a
ch13	n/a	13	13	830	n/a
ch14	n/a	14	14	830	n/a
ch15	n/a	15	15	830	n/a
ch16	n/a	16	16	830	n/a
ch17	n/a	17	17	830	n/a
ch18	n/a	18	18	830	n/a
ch19	n/a	19	19	830	n/a
ch20	n/a	20	20	830	n/a
ch21	n/a	21	21	830	n/a
ch22	n/a	22	22	830	n/a
ch23	n/a	23	23	830	n/a
ch24	n/a	24	24	830	n/a
ch25	n/a	25	25	830	n/a
ch26	n/a	26	26	830	n/a
ch27	n/a	27	27	830	n/a
ch28	n/a	28	28	830	n/a
ch29	n/a	29	29	830	n/a
ch30	n/a	30	30	830	n/a
ch31	n/a	31	31	830	n/a
ch32	n/a	32	32	830	n/a
ch33	n/a	33	33	830	n/a
ch34	n/a	34	34	830	n/a
ch35	n/a	35	35	830	n/a
ch36	n/a	36	36	830	n/a
ch37	n/a	37	37	830	n/a
ch38	n/a	38	38	830	n/a
ch39	n/a	39	39	830	n/a
ch40	n/a	40	40	830	n/a
ch41	n/a	41	41	830	n/a
ch42	n/a	42	42	830	n/a
ch43	n/a	43	43	830	n/a
ch44	n/a	44	44	830	n/a
ch45	n/a	45	45	830	n/a
ch46	n/a	46	46	830	n/a
